,cuisine,c,restaurant_address,address
1910,9, Biryani,25,"Jeevan Bhima Nagar, Bangalore"
1913,54, Seafood,25,"Jeevan Bhima Nagar, Bangalore"
1915,57, Sichuan,25,"Jeevan Bhima Nagar, Bangalore"
1916,83,Fast Food,27,"Kammanahalli, Bangalore"
1922,113,Tea,28,"Koramangala 1st Block, Bangalore"
1923,20, Fast Food,28,"Koramangala 1st Block, Bangalore"
1924,8, Beverages,28,"Koramangala 1st Block, Bangalore"
1926,42, Momos,18,"HBR Layout, Bangalore"
1928,111,South Indian,11,"City Market, Bangalore"
1929,97,Momos,3,"Banashankari, Bangalore"
1930,82,Desserts,55,"Sanjay Nagar, Bangalore"
1934,82,Desserts,49,"Race Course Road, Bangalore"
1935,8, Beverages,49,"Race Course Road, Bangalore"
1936,20, Fast Food,49,"Race Course Road, Bangalore"
1937,25, Ice Cream,49,"Race Course Road, Bangalore"
1938,55, Shake,49,"Race Course Road, Bangalore"
1939,77,Burger,31,"Koramangala 5th Block, Bangalore"
1941,78,Cafe,38,"MG Road, Bangalore"
1944,28, Italian,38,"MG Road, Bangalore"
1945,39, Mexican,38,"MG Road, Bangalore"
1954,70,Asian,8,"Brigade Road, Bangalore"
1959,52, Salad,8,"Brigade Road, Bangalore"
1962,58, South Indian,34,"Koramangala 8th Block, Bangalore"
1963,2, Andhra,34,"Koramangala 8th Block, Bangalore"
1964,54, Seafood,34,"Koramangala 8th Block, Bangalore"
1976,91,Lebanese,32,"Koramangala 6th Block, Bangalore"
1977,93,Mangalorean,8,"Brigade Road, Bangalore"
1980,58, South Indian,8,"Brigade Road, Bangalore"
1984,80,Chinese,58,"Shivajinagar, Bangalore"
1988,89,Kebab,16,"Frazer Town, Bangalore"
1989,27, Iranian,16,"Frazer Town, Bangalore"
1994,101,North Indian,10,"Church Street, Bangalore"
1995,15, Chinese,10,"Church Street, Bangalore"
1996,9, Biryani,10,"Church Street, Bangalore"
1998,11, Burger,10,"Church Street, Bangalore"
1999,49, Pizza,10,"Church Street, Bangalore"
2001,75,Beverages,19,"Hosur Road, Bangalore"
2003,23, Healthy Food,19,"Hosur Road, Bangalore"
2006,65, Waffle,51,"Residency Road, Bangalore"
2008,83,Fast Food,11,"City Market, Bangalore"
2009,25, Ice Cream,11,"City Market, Bangalore"
2010,18, Desserts,11,"City Market, Bangalore"
2011,8, Beverages,11,"City Market, Bangalore"
2012,55, Shake,11,"City Market, Bangalore"
2014,18, Desserts,32,"Koramangala 6th Block, Bangalore"
2015,55, Shake,32,"Koramangala 6th Block, Bangalore"
2016,108,Seafood,24,"Jayanagar, Bangalore"
2017,100,North Eastern,31,"Koramangala 5th Block, Bangalore"
2022,84,Healthy Food,45,"Old Airport Road, Bangalore"
2034,73,Bakery,66,"Wilson Garden, Bangalore"
2035,110,Shawarma,14,"Domlur, Bangalore"
2036,51, Rolls,14,"Domlur, Bangalore"
2038,11, Burger,14,"Domlur, Bangalore"
2040,96,Mithai,32,"Koramangala 6th Block, Bangalore"
2041,102,Odia,45,"Old Airport Road, Bangalore"
2045,57, Sichuan,45,"Old Airport Road, Bangalore"
2046,75,Beverages,25,"Jeevan Bhima Nagar, Bangalore"
2047,53, Sandwich,25,"Jeevan Bhima Nagar, Bangalore"
2052,96,Mithai,38,"MG Road, Bangalore"
2058,83,Fast Food,44,"Nexus, Koramangala, Bangalore"
2059,42, Momos,44,"Nexus, Koramangala, Bangalore"
2060,8, Beverages,44,"Nexus, Koramangala, Bangalore"
2061,101,North Indian,30,"Koramangala 4th Block, Bangalore"
2062,15, Chinese,30,"Koramangala 4th Block, Bangalore"
2063,54, Seafood,30,"Koramangala 4th Block, Bangalore"
2064,43, Mughlai,30,"Koramangala 4th Block, Bangalore"
2065,18, Desserts,30,"Koramangala 4th Block, Bangalore"
2067,57, Sichuan,30,"Koramangala 4th Block, Bangalore"
2068,75,Beverages,6,"Basavanagudi, Bangalore"
2070,16, Coffee,6,"Basavanagudi, Bangalore"
2071,77,Burger,27,"Kammanahalli, Bangalore"
2072,53, Sandwich,27,"Kammanahalli, Bangalore"
2073,51, Rolls,27,"Kammanahalli, Bangalore"
2074,66, Wraps,27,"Kammanahalli, Bangalore"
2076,55, Shake,27,"Kammanahalli, Bangalore"
2081,104,Pizza,33,"Koramangala 7th Block, Bangalore"
2082,28, Italian,33,"Koramangala 7th Block, Bangalore"
2085,111,South Indian,64,"Vasanth Nagar, Bangalore"
2088,83,Fast Food,6,"Basavanagudi, Bangalore"
2092,57, Sichuan,6,"Basavanagudi, Bangalore"
