Restaurant_id,name,urls,ratings,price for one,cuisine
R259,Kolkata Famous Kati Rolls,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-city-market-bangalore/order,4.2,300,Rolls
R260,Mumbai Xpress,https://www.zomato.com/bangalore/mumbai-xpress-koramangala-5th-block-bangalore/order,3.7,300,"Fast Food, North Indian, Street Food, Beverages, Chinese, Shake, Sichuan"
R261,Hyderabadi Biryani Hub,https://www.zomato.com/bangalore/hyderabadi-biryani-hub-btm/order,3.8,200,"Biryani, North Indian, Chinese, Mughlai, Beverages, Desserts"
R262,Bangarpet Chats,https://www.zomato.com/bangalore/bangarpet-chats-rajajinagar-bangalore/order,4.1,200,Street Food
R263,Hotel N.G.T Non Veg,https://www.zomato.com/bangalore/hotel-n-g-t-non-veg-vijay-nagar-bangalore/order,4.1,200,"Biryani, South Indian, Chinese"
R264,Nando's,https://www.zomato.com/bangalore/nandos-brigade-road-bangalore/order,4.1,200,"Portuguese, Burger, Fast Food"
R265,Magnolia Bakery,https://www.zomato.com/bangalore/magnolia-bakery-indiranagar-bangalore/order,4.4,200,"Bakery, Desserts, Beverages"
R266,King Punjabi Restaurant,https://www.zomato.com/bangalore/king-punjabi-restaurant-btm/order,3.9,200,"North Indian, Chinese, Sichuan"
R267,Bombay Bitess,https://www.zomato.com/bangalore/bombay-bitess-rajajinagar-bangalore/order,3.6,200,"North Indian, Sandwich, Chinese, Street Food, Fast Food, Desserts, Shake, Juices"
R268,Daily Sushi,https://www.zomato.com/bangalore/daily-sushi-church-street-bangalore/order,4.2,200,"Japanese, Korean, Sushi, Asian"
R269,La Heaven,https://www.zomato.com/bangalore/la-heaven-malleshwaram-bangalore/order,4.4,200,"Bakery, Desserts"
R270,NOTO - Healthy Ice Cream,https://www.zomato.com/bangalore/noto-healthy-ice-cream-brigade-road-bangalore/order,4,200,"Ice Cream, Mithai, Desserts"
R271,Friendly Neighbourhood Pizza - Man,https://www.zomato.com/bangalore/friendly-neighbourhood-pizza-man-basavanagudi-bangalore/order,4.3,200,"Pizza, Italian, Ice Cream, Shake"
R272,New Shanthi Sagar,https://www.zomato.com/bangalore/new-shanthi-sagar-basavanagudi/order,3.8,200,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages"
R273,Belgian Waffle Factory,https://www.zomato.com/bangalore/belgian-waffle-factory-rt-nagar-bangalore/order,4,200,"Desserts, Waffle"
R274,Rooftop Cafe,https://www.zomato.com/bangalore/rooftop-cafe-jayanagar/order,3.7,200,"Pizza, Fast Food, Chinese, Coffee, Beverages"
R275,Jose Mess,https://www.zomato.com/bangalore/jose-mess-1-btm-bangalore/order,4,200,"Kerala, South Indian, Biryani"
R276,Pasta Street,https://www.zomato.com/bangalore/pasta-street-cunningham-road/order,4.2,200,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages"
